family_id	n	BGCs_id
710	2	,BGC0000756,BGC0000757
1344	2	,BGC0001452,BGC0001522
2238	5	,BGC0000096,BGC0000113,BGC0001931,BGC0002033,BGC0002452
1348	3	,BGC0000633,BGC0001227,BGC0001456
7	5	,BGC0000004,BGC0000006,BGC0000007,BGC0000008,BGC0000009
1354	11	,BGC0000311,BGC0000322,BGC0000418,BGC0000419,BGC0000455,BGC0001459,BGC0001460,BGC0001461,BGC0001462,BGC0001635,BGC0001955
1355	2	,BGC0001463,BGC0001464
2250	2	,BGC0001767,BGC0002466
738	2	,BGC0000782,BGC0000785
2267	2	,BGC0002484,BGC0002572
1376	2	,BGC0001486,BGC0002665
764	2	,BGC0000813,BGC0000814
2285	3	,BGC0000062,BGC0000063,BGC0002502
1396	2	,BGC0001507,BGC0002053
2288	2	,BGC0002239,BGC0002505
2292	3	,BGC0001043,BGC0002365,BGC0002509
779	2	,BGC0000832,BGC0000833
2293	2	,BGC0002378,BGC0002510
2294	3	,BGC0000302,BGC0001479,BGC0002512
2297	2	,BGC0001770,BGC0002517
1014	2	,BGC0001073,BGC0002097
1015	4	,BGC0000214,BGC0001074,BGC0001558,BGC0001568
790	2	,BGC0000844,BGC0000845
1020	2	,BGC0000652,BGC0001079
401	2	,BGC0000429,BGC0002676
1038	3	,BGC0001090,BGC0001098,BGC0001103
412	2	,BGC0000440,BGC0000441
418	2	,BGC0000446,BGC0001637
1041	2	,BGC0001108,BGC0001109
421	2	,BGC0000449,BGC0001843
1052	2	,BGC0001119,BGC0001719
1059	2	,BGC0001128,BGC0002716
1066	2	,BGC0001049,BGC0001136
441	2	,BGC0000472,BGC0001505
444	4	,BGC0000473,BGC0000474,BGC0000475,BGC0000480
1073	2	,BGC0001144,BGC0002646
451	2	,BGC0000478,BGC0000482
454	3	,BGC0000485,BGC0000491,BGC0001222
1085	2	,BGC0001140,BGC0001156
1086	3	,BGC0000468,BGC0000469,BGC0001157
464	2	,BGC0000497,BGC0000552
465	2	,BGC0000498,BGC0000561
1091	3	,BGC0001161,BGC0001162,BGC0001163
1093	2	,BGC0000976,BGC0001165
472	2	,BGC0000506,BGC0000559
474	2	,BGC0000508,BGC0000514
1712	2	,BGC0001851,BGC0001852
495	3	,BGC0000530,BGC0000531,BGC0000533
109	2	,BGC0000118,BGC0000119
1733	2	,BGC0001875,BGC0002024
115	2	,BGC0000124,BGC0001742
125	2	,BGC0000134,BGC0002187
127	4	,BGC0000136,BGC0000137,BGC0001759,BGC0002009
